National Database Number,Common Name,Species,State,Observation Date,Length,Latitude,Longitude,
AK-2006-1231874,"Whale, killer",orca,AK,2006-07-28,597,60.0415,-144.156,
AK-2006-1240608,"Whale, killer",orca,AK,2006-07-28,564,60.050833,144.18,
AK-2007-1073577,"Whale, minke",acutorostrata,AK,2007-06-20,475,60.13,148.15,
AK-2007-1073623,"Whale, minke",acutorostrata,AK,2007-08-08,0,59.98,-151.72,
AK-2007-1083085,"Whale, killer",orca,AK,2007-08-02,0,60.17,-147.67,
AK-2008-1074521,"Whale, humpback",novaeangliae,AK,2008-02-10,0,57.014454,-135.325961,
AK-2008-1075201,"Whale, humpback",novaeangliae,AK,2008-03-25,0,57.113056,-135.402778,
AK-2008-1076789,"Whale, sperm",macrocephalus,AK,2008-05-21,0,59.967,-147.3173,
AK-2008-1078255,"Whale, killer",orca,AK,2008-06-17,0,58.67217,-161.1386,
AK-2008-1078375,"Whale, humpback",novaeangliae,AK,2008-06-23,0,58.36311,-134.696794,
AK-2008-1078513,"Whale, sperm",macrocephalus,AK,2008-06-24,0,65.292106,-166.844564,
AK-2008-1078661,"Whale, humpback",novaeangliae,AK,2008-06-16,0,59.1697204,-154.1965404,
AK-2008-1078665,"Whale, humpback",novaeangliae,AK,2008-06-30,0,59.779181,-149.5068587,
AK-2008-1078889,"Whale, humpback",novaeangliae,AK,2008-07-07,0,59.010553,-135.320208,
AK-2008-1078921,"Whale, killer",orca,AK,2008-05-24,110,58.8451,-160.21151,
AK-2008-1079021,"Whale, gray",robustus,AK,2008-06-22,0,54.58316,-165.97526,
AK-2008-1079821,"Whale, killer",orca,AK,2008-05-17,0,57.61243,-136.17065,
AK-2008-1079825,"Whale, humpback",novaeangliae,AK,2008-07-20,0,59.105,-151.345,
AK-2008-1079827,"Whale, humpback",novaeangliae,AK,2008-07-20,0,59.073,-151.615,
AK-2008-1079829,"Whale, humpback",novaeangliae,AK,2008-07-20,0,59.505,-151.74,
AK-2008-1079833,"Whale, humpback",novaeangliae,AK,2008-07-25,0,70.333138,-147.92005,
AK-2008-1080047,"Whale, bowhead",mysticetus,AK,2008-07-10,660,67.6849,-164.504685,
AK-2008-1080049,"Whale, humpback",novaeangliae,AK,2008-07-15,0,57.508526,-135.287451,
AK-2008-1080063,"Whale, humpback",novaeangliae,AK,2008-07-20,0,59.105,-151.345,
AK-2008-1080071,"Whale, humpback",novaeangliae,AK,2008-07-20,0,59.073333,-151.615,
AK-2008-1080077,"Whale, humpback",novaeangliae,AK,2008-07-20,0,58.281908,-135.756561,
AK-2008-1080085,"Whale, humpback",novaeangliae,AK,2008-07-23,0,59.1875,-174.4623,
AK-2008-1080087,"Whale, humpback",novaeangliae,AK,2008-07-23,0,57.8384,-152.2634,
AK-2008-1080091,"Whale, bowhead",mysticetus,AK,2008-07-23,360,67.964,-168.01416,
AK-2008-1080095,"Whale, humpback",novaeangliae,AK,2008-07-24,1200,53.927883,-166.52133,
AK-2008-1080099,"Whale, gray",robustus,AK,2008-07-26,0,70.917386,-158.85213,
AK-2008-1080101,"Whale, humpback",novaeangliae,AK,2008-07-27,0,58.4972,-134.93367,
AK-2008-1080103,"Whale, sperm",macrocephalus,AK,2008-07-23,480,52.7363,174.0794,
AK-2008-1080309,"Whale, humpback",novaeangliae,AK,2008-07-30,0,57.48,-152.11,
AK-2008-1080319,"Whale, gray",robustus,AK,2008-08-01,0,68.02783,-168.5103,
AK-2008-1080531,"Whale, gray",robustus,AK,2008-08-08,0,68.228333,-166.09666,
AK-2008-1080533,"Whale, gray",robustus,AK,2008-08-10,0,67.16,-166.7383,
AK-2008-1080541,"Whale, humpback",novaeangliae,AK,2008-08-14,0,57.54145,-135.50605,
AK-2008-1080543,"Whale, humpback",novaeangliae,AK,2008-08-15,0,57.83333,-152.34167,
AK-2008-1080979,"Whale, humpback",novaeangliae,AK,2008-08-28,0,55.14398,-131.57364,
AK-2008-1082079,"Whale, humpback",novaeangliae,AK,2008-09-06,0,56.865,-153.628,
AK-2008-1082249,"Whale, humpback",novaeangliae,AK,2008-09-12,0,57.95989444,-152.7378972,
AK-2008-1082251,"Whale, gray",robustus,AK,2008-09-25,0,71.16206,-157.05843,
AK-2008-1082257,"Whale, humpback",novaeangliae,AK,2008-09-07,0,59.916915,-149.401778,
AK-2008-1082271,"Whale, humpback",novaeangliae,AK,2008-09-12,0,55.156974,-133.086777,
AK-2008-1082283,"Whale, bowhead",mysticetus,AK,2008-09-11,0,68.258,-166.19,
AK-2008-1082331,"Whale, humpback",novaeangliae,AK,2008-07-17,0,59.18,-151.48,
AK-2008-1082507,"Whale, humpback",novaeangliae,AK,2008-06-10,480,59.16,-154.08,
AK-2008-1082509,"Whale, humpback",novaeangliae,AK,2008-05-25,0,58.38,-153.45,
AK-2008-1082511,"Whale, humpback",novaeangliae,AK,2008-06-20,0,59.07,-153.45,
AK-2008-1082523,"Whale, humpback",novaeangliae,AK,2008-07-20,444,59.51,-151.74,
AK-2008-1082525,"Whale, humpback",novaeangliae,AK,2008-07-20,456,59.11,-151.34,
AK-2008-1082527,"Whale, humpback",novaeangliae,AK,2008-07-20,468,50.07,-151.61,
AK-2008-1083129,"Whale, bowhead",mysticetus,AK,2008-10-14,204,70.72,-162.516,
AK-2008-1083131,"Whale, bowhead",mysticetus,AK,2008-10-20,0,71.16205833,-157.058425,
AK-2008-1083377,"Whale, minke",acutorostrata,AK,2008-06-16,0,59.53,-152,
AK-2008-1083955,"Whale, humpback",novaeangliae,AK,2008-07-28,0,53.55,-166.31,
AK-2008-1086601,"Whale, humpback",novaeangliae,AK,2008-08-18,0,56.72,-153.9016,
AK-2008-1086637,"Whale, humpback",novaeangliae,AK,2008-08-08,0,56.57,-154.0583,
AK-2008-1086899,"Whale, humpback",novaeangliae,AK,2008-08-18,0,59.49,-154.2316,
AK-2008-1258720,"Whale, gray",robustus,AK,2008-08-10,0,67.1,-163.443,
AK-2008-1258721,"Whale, gray",robustus,AK,2008-10-11,0,66.087212,-161.737369,
AK-2008-1258722,"Whale, gray",robustus,AK,2008-08-10,0,67.596,-165.148,
AK-2008-1258723,"Whale, gray",robustus,AK,2008-08-10,0,68.006287,-165.280684,
AK-2008-1258724,"Whale, gray",robustus,AK,2008-08-10,0,68.137,-166.058,
AK-2009-1092759,"Whale, gray",robustus,AK,2009-06-07,864,57.467,-152.482,
AK-2009-1094091,"Whale, gray",robustus,AK,2009-07-01,0,58.929525,-160.476009,
AK-2009-1094115,"Whale, gray",robustus,AK,2009-07-09,960,59.1727,-140.737,
AK-2009-1094433,"Whale, sperm",macrocephalus,AK,2009-06-30,192,59.46,-141.53,
AK-2009-1095353,"Whale, gray",robustus,AK,2009-08-02,0,64.52635,-165.839146,
AK-2009-1096715,"Whale, gray",robustus,AK,2009-07-27,360,64.6323,-166.36167,
AK-2009-1096865,"Whale, bowhead",mysticetus,AK,2009-08-20,0,70.91,-157.607,
AK-2009-1096867,"Whale, gray",robustus,AK,2009-08-21,0,71.19,-157,
AK-2009-1098209,"Whale, killer",orca,AK,2009-07-27,0,52.81527,-172.69045,
AK-2009-1098225,"Whale, killer",orca,AK,2009-08-22,0,59.81333,-147.626004,
AK-2009-1098233,"Whale, humpback",novaeangliae,AK,2009-09-15,360,55.04,-164.778333,
AK-2009-1099413,"Whale, gray",robustus,AK,2009-09-06,300,69.70669,-164.1848,
AK-2009-1099641,"Whale, gray",robustus,AK,2009-07-25,0,66.3787,-162.0668,
AK-2009-1099785,"Whale, gray",robustus,AK,2009-10-15,0,57.738508,-155.620725,
AK-2009-1099877,"Whale, gray",robustus,AK,2009-06-01,0,58.825272,-159.790062,
AK-2009-1101655,"Whale, gray",robustus,AK,2009-08-30,0,57.615,-152.2394,
AK-2009-1103231,"Whale, humpback",novaeangliae,AK,2009-12-10,300,57.501678,-134.793333,
AK-2009-1103243,"Whale, gray",robustus,AK,2009-06-23,740,55.134113,-162.619307,
AK-2009-1103253,"Whale, humpback",novaeangliae,AK,2009-11-28,288,58.095,-134.101667,
AK-2010-1121868,"Whale, humpback",novaeangliae,AK,2010-07-03,1200,55.127,-162.211,
AK-2010-1121870,"Whale, killer",orca,AK,2010-07-24,0,59.6387611,-151.55218,
AK-2010-1123764,"Whale, gray",robustus,AK,2010-04-24,0,60.927319,-149.354944,
AK-2010-1123765,"Whale, humpback",novaeangliae,AK,2010-05-05,492,58.8451,-136.63058,
AK-2010-1123768,"Whale, gray",robustus,AK,2010-05-14,360,57.468333,-152.905,
AK-2010-1123773,"Whale, humpback",novaeangliae,AK,2010-05-26,0,57.096,-135.958667,
AK-2010-1123776,"Whale, humpback",novaeangliae,AK,2010-06-01,360,56.936308,-152.563922,
AK-2010-1123777,"Whale, bowhead",mysticetus,AK,2010-06-03,0,66.53393,-163.52304,
AK-2010-1123779,"Whale, gray",robustus,AK,2010-06-07,464,61.008267,-151,
AK-2010-1123781,"Whale, humpback",novaeangliae,AK,2010-06-09,393,57.53846,-153.873051,
AK-2010-1123783,"Whale, gray",robustus,AK,2010-06-14,336,57.466392,-152.472275,
AK-2010-1123787,"Whale, gray",robustus,AK,2010-07-20,0,67.407833,-163.966167,
AK-2010-1123789,"Whale, gray",robustus,AK,2010-07-20,0,67.062333,-163.311,
AK-2010-1123794,"Whale, killer",orca,AK,2010-06-24,0,63.459204,-169.840794,
AK-2010-1123869,"Whale, gray",robustus,AK,2010-07-17,0,57.278,-157.7905,
AK-2010-1123870,"Whale, humpback",novaeangliae,AK,2010-07-22,0,56.568,-154.596333,
AK-2010-1123875,"Whale, humpback",novaeangliae,AK,2010-07-22,1128,57.775,-152.286667,
AK-2010-1123880,"Whale, gray",robustus,AK,2010-07-23,0,65.484833,-167.70205,
AK-2010-1123883,"Whale, killer",orca,AK,2010-07-23,0,65.093,-166.860333,
AK-2010-1123893,"Whale, gray",robustus,AK,2010-07-27,0,68.85636,-165.7177,
AK-2010-1123896,"Whale, humpback",novaeangliae,AK,2010-07-28,0,59.59,-151.928333,
AK-2010-1123898,"Whale, humpback",novaeangliae,AK,2010-07-28,0,60.3925,-165.122583,
AK-2010-1123903,"Whale, humpback",novaeangliae,AK,2010-07-31,0,57.39469,-158.14374,
AK-2010-1123955,"Whale, humpback",novaeangliae,AK,2010-08-04,96,59.63496,-151.51138,
AK-2010-1123958,"Whale, gray",robustus,AK,2010-08-05,480,56.5075,-154.148,
AK-2010-1123961,"Whale, killer",orca,AK,2010-08-09,0,63.293695,-172.710699,
AK-2010-1123987,"Whale, humpback",novaeangliae,AK,2010-09-06,480,55.16066,-132.89596,
AK-2010-1123995,"Whale, bowhead",mysticetus,AK,2010-09-17,0,71.14558,-157.9861,
AK-2010-1123997,"Whale, gray",robustus,AK,2010-09-24,0,67.408333,-163.8665,
AK-2010-1125027,"Whale, humpback",novaeangliae,AK,2010-11-07,300,56.801267,-135.341883,
AK-2010-1125032,"Whale, humpback",novaeangliae,AK,2010-10-25,0,56.214045,-134.655057,
AK-2010-1127585,"Whale, killer",orca,AK,2010-07-15,0,65.689697,-168.536751,
AK-2010-1127741,"Whale, gray",robustus,AK,2010-07-01,0,66.971764,-163.028094,
AK-2010-1127742,"Whale, minke",acutorostrata,AK,2010-08-21,0,64.496591,-165.515853,
AK-2010-1127778,"Whale, gray",robustus,AK,2010-09-10,910,59.82073,-141.18701,
AK-2010-1128259,"Whale, minke",acutorostrata,AK,2010-07-26,0,59.639367,-151.558233,
AK-2010-1128262,"Whale, gray",robustus,AK,2010-06-23,0,58.776,-159.412,
AK-2010-1128265,"Whale, gray",robustus,AK,2010-07-14,0,59.911336,-151.761678,
AK-2010-1238166,"Whale, humpback",novaeangliae,AK,2010-08-14,0,58.498,134.5595,
AK-2011-1129759,"Whale, killer",orca,AK,2011-03-13,0,57.08055,-135.592033,
AK-2011-1130683,"Whale, gray",robustus,AK,2011-04-08,1210,57.007,-135.411667,
AK-2011-1132957,"Whale, gray",robustus,AK,2011-04-27,0,57.00313,-135.72833,
AK-2011-1132958,"Whale, gray",robustus,AK,2011-05-09,0,60.863917,-147.2817,
AK-2011-1134063,"Whale, humpback",novaeangliae,AK,2011-07-03,240,59,149,
AK-2011-1134067,"Whale, humpback",novaeangliae,AK,2011-06-22,180,59,150,
AK-2011-1137887,"Whale, sperm",macrocephalus,AK,2011-05-13,0,59.8755,-147.409833,
AK-2011-1137888,"Whale, humpback",novaeangliae,AK,2011-05-21,0,56.923636,-154.15972,
AK-2011-1137890,"Whale, killer",orca,AK,2011-05-22,114,59.301633,-135.514576,
AK-2011-1138429,"Whale, gray",robustus,AK,2011-06-05,0,55.10245,-131.609028,
AK-2011-1138578,"Whale, gray",robustus,AK,2011-07-09,0,68.673353,-166.209814,
AK-2011-1138579,"Whale, gray",robustus,AK,2011-07-10,0,68.067448,-165.56481,
AK-2011-1138693,"Whale, humpback",novaeangliae,AK,2011-08-31,300,59.743,-149.471,
AK-2011-1149819,"Whale, gray",robustus,AK,2011-06-19,0,70.50239,-167.7431,
AK-2011-1149821,"Whale, gray",robustus,AK,2011-06-19,0,59.846549,-144.575709,
AK-2011-1149823,"Whale, humpback",novaeangliae,AK,2011-06-23,0,57.5995,-151.740667,
AK-2011-1149826,"Whale, blue",musculus,AK,2011-06-24,0,59.9937,-144.2008,
AK-2011-1157968,"Whale, humpback",novaeangliae,AK,2011-08-13,0,57.778833,-153.935,
AK-2011-1159590,"Whale, humpback",novaeangliae,AK,2011-09-07,274,56.59813,-134.55278,
AK-2011-1159591,"Whale, killer",orca,AK,2011-09-13,0,58.92173333,-157.89935,
AK-2011-1159592,"Whale, humpback",novaeangliae,AK,2011-10-04,0,57.04666667,-135.6016667,
AK-2011-1207967,"Whale, humpback",novaeangliae,AK,2011-07-31,0,56.81667,-153.1997,
AK-2011-1258783,"Whale, gray",robustus,AK,2011-09-21,0,66.23798,-166.19629,
AK-2012-1144082,"Whale, killer",orca,AK,2012-03-26,249,56.671179,-135.196338,
AK-2012-1144135,"Whale, humpback",novaeangliae,AK,2012-05-01,276,57.211931,-153.207492,
AK-2012-1144137,"Whale, humpback",novaeangliae,AK,2012-05-10,420,57.350367,-152.43695,
AK-2012-1146298,"Whale, humpback",novaeangliae,AK,2012-07-23,820,59.898,-149.256,
AK-2012-1147025,"Whale, sperm",macrocephalus,AK,2012-07-11,0,55.710833,-140.9065,
AK-2012-1147057,"Whale, humpback",novaeangliae,AK,2012-07-12,480,57.822787,-152.324577,
AK-2012-1147061,"Whale, gray",robustus,AK,2012-07-22,0,66.599722,-163.836944,
AK-2012-1147063,"Whale, gray",robustus,AK,2012-07-22,0,64.482733,-165.310079,
AK-2012-1147178,"Whale, minke",acutorostrata,AK,2012-08-01,0,56.34014,-169.39991,
AK-2012-1147312,"Whale, humpback",novaeangliae,AK,2012-08-01,0,57.203334,-134.645056,
AK-2012-1147313,"Whale, humpback",novaeangliae,AK,2012-08-03,0,59.878517,-148.510833,
AK-2012-1147521,"Whale, gray",robustus,AK,2012-08-08,0,64.496905,-165.407503,
AK-2012-1147523,"Whale, gray",robustus,AK,2012-08-09,0,64.556848,-166.012129,
AK-2012-1147527,"Whale, gray",robustus,AK,2012-08-11,600,67.3651,-167.7164,
AK-2012-1147528,"Whale, gray",robustus,AK,2012-08-12,0,71.09,-157.97,
AK-2012-1147535,"Whale, humpback",novaeangliae,AK,2012-08-15,0,55.819309,-155.748658,
AK-2012-1147537,"Whale, gray",robustus,AK,2012-08-16,0,70.91638,-159.8153,
AK-2012-1147542,"Whale, gray",robustus,AK,2012-08-20,0,71.99545,-155.5208,
AK-2012-1147544,"Whale, gray",robustus,AK,2012-08-21,0,71.39005,-157.3742,
AK-2012-1147550,"Whale, gray",robustus,AK,2012-08-25,516,56.582,-154.35317,
AK-2012-1147551,"Whale, gray",robustus,AK,2012-08-25,0,70.52979,-164.8678,
AK-2012-1147552,"Whale, gray",robustus,AK,2012-08-25,0,71.22678,-167.808,
AK-2012-1147555,"Whale, humpback",novaeangliae,AK,2012-08-26,360,57.588548,-152.152074,
AK-2012-1147578,"Whale, killer",orca,AK,2012-09-20,117,59.299639,-139.125966,
AK-2012-1147610,"Whale, gray",robustus,AK,2012-09-01,0,71.51544,-156.9134,
AK-2012-1147611,"Whale, gray",robustus,AK,2012-09-06,850,68.32794,-166.5488,
AK-2012-1147613,"Whale, gray",robustus,AK,2012-09-07,0,56.38477,-157.619967,
AK-2012-1147615,"Whale, minke",acutorostrata,AK,2012-09-15,0,58.05965,-138.31777,
AK-2012-1147616,"Whale, gray",robustus,AK,2012-09-15,820,71.3888,-156.82778,
AK-2012-1147627,"Whale, killer",orca,AK,2012-10-01,240,55.535836,-160.71078,
AK-2012-1147633,"Whale, gray",robustus,AK,2012-10-06,0,71.65406,-156.268,
AK-2012-1147641,"Whale, gray",robustus,AK,2012-09-24,0,71.1186,-157.1552,
AK-2012-1147642,"Whale, gray",robustus,AK,2012-09-25,0,68.32471,-166.51202,
AK-2012-1147643,"Whale, gray",robustus,AK,2012-09-25,815,71.302654,-156.762502,
AK-2012-1147644,"Whale, humpback",novaeangliae,AK,2012-09-26,461,57.619945,-152.200685,
AK-2012-1147666,"Whale, bowhead",mysticetus,AK,2012-10-30,960,71.29311,-156.803127,
AK-2012-1147668,"Whale, humpback",novaeangliae,AK,2012-11-15,0,57.574235,-152.175898,
AK-2012-1147669,"Whale, gray",robustus,AK,2012-11-23,0,63.697089,-170.478113,
AK-2012-1147677,"Whale, humpback",novaeangliae,AK,2012-08-26,0,59.58833,-140.52,
AK-2012-1147678,"Whale, humpback",novaeangliae,AK,2012-09-29,0,58.317021,-136.314214,
AK-2012-1258784,"Whale, gray",robustus,AK,2012-07-23,0,65.857369,-167.401193,
AK-2012-1258785,"Whale, gray",robustus,AK,2012-08-30,0,65.08,-166.55354,
AK-2012-1258786,"Whale, gray",robustus,AK,2012-08-30,0,64.49691,-165.34075,
AK-2013-1146883,"Whale, killer",orca,AK,2012-05-08,96,59.40672,-146.37325,
AK-2013-1147709,"Whale, killer",orca,AK,2013-01-10,300,55.3633,-131.4033,
AK-2013-1147715,"Whale, fin",physalus,AK,2013-03-01,840,57.653056,-154.121211,
